Materias_inscritas;Promedio_estudiantil;Situacion_economica;Situacion_familiar;Horas_estudio_por_semana;Edad;Desercion
6;66;media;inestable;37;27;0
5;39;media;inestable;21;21;0
3;64;baja;inestable;40;28;0
2;16;alta;inestable;20;22;1
1;17;media;inestable;5;26;1
5;9;baja;estable;19;22;1
4;58;media;estable;7;24;0
3;11;alta;inestable;20;19;0
2;16;baja;estable;28;19;0
1;21;media;inestable;19;21;0
4;13;media;estable;4;25;0
2;40;baja;inestable;19;19;0
6;7;baja;estable;20;27;0
5;16;baja;estable;27;24;1
6;78;baja;inestable;32;18;0
5;5;baja;estable;38;26;0
4;70;media;inestable;20;27;0
6;49;baja;estable;20;23;0
5;95;baja;inestable;23;28;1
3;42;alta;estable;37;18;0
4;8;media;inestable;25;27;0
5;83;alta;estable;6;23;1
1;41;media;estable;17;22;0
5;44;media;inestable;26;29;0
6;38;media;inestable;28;22;1
3;65;baja;inestable;20;22;1
2;63;alta;inestable;7;21;1
2;81;media;estable;38;24;0
5;60;media;estable;2;26;0
2;37;media;estable;39;21;0
5;65;alta;estable;34;19;0
3;78;media;estable;26;19;0
2;10;alta;inestable;29;19;0
6;2;alta;inestable;3;24;0
6;8;baja;inestable;2;21;0
1;42;media;inestable;4;21;0
5;86;media;inestable;3;18;1
2;62;alta;estable;22;21;0
6;9;alta;estable;9;23;1
7;100;baja;inestable;34;19;0
3;87;media;inestable;18;21;0
3;31;alta;inestable;28;28;0
7;67;media;estable;20;24;0
7;6;media;inestable;13;26;0
1;92;media;inestable;10;19;0
3;44;alta;inestable;14;25;0
3;45;media;estable;32;23;1
2;59;alta;inestable;23;25;0
5;28;baja;estable;10;19;1
4;63;baja;inestable;33;28;0
3;72;alta;inestable;2;18;1
3;45;media;estable;28;24;0
4;1;baja;estable;18;26;1
3;2;baja;inestable;29;26;1
2;91;alta;inestable;20;19;0
2;83;alta;estable;30;21;0
4;41;alta;estable;18;18;1
6;67;alta;inestable;6;28;1
3;61;alta;estable;32;24;0
6;29;alta;estable;18;19;1
3;30;alta;inestable;3;21;1
5;40;media;inestable;29;29;0
3;21;media;inestable;12;19;1
2;72;media;estable;2;18;1
1;8;media;inestable;36;24;0
7;30;baja;inestable;19;23;0
1;15;media;estable;11;19;0
1;34;baja;inestable;29;21;0
1;21;baja;estable;35;29;0
7;51;baja;estable;0;28;1
6;58;alta;inestable;28;20;1
7;94;baja;inestable;31;29;0
6;12;baja;estable;8;20;1
7;91;baja;inestable;20;20;0
7;50;alta;estable;4;28;0
3;38;media;estable;30;21;0
6;58;media;inestable;34;18;0
3;38;baja;inestable;4;18;1
5;70;baja;estable;20;24;0
3;88;media;estable;31;22;0
1;47;media;inestable;14;20;0
4;64;media;estable;28;26;0
4;49;media;estable;0;22;0
2;45;baja;estable;37;27;0
2;34;baja;inestable;22;20;0
3;62;baja;estable;25;26;0
7;74;media;estable;27;18;0
7;97;alta;inestable;22;26;0
4;81;media;estable;34;22;0
1;30;media;estable;24;23;0
6;59;alta;inestable;36;19;0
1;15;alta;inestable;23;25;0
1;50;media;inestable;7;20;1
3;93;alta;inestable;37;18;0
3;54;alta;inestable;27;24;0
5;36;alta;estable;28;29;0
1;24;media;estable;39;20;0
7;27;media;inestable;3;21;1
